Date,Open,High,Low,Close,Adj Close,Volume
2016-11-09,74561.687500,76259.757813,74509.210938,76208.968750,76208.968750,1029220300
2016-11-10,76881.117188,77108.023438,76360.359375,76360.359375,76360.359375,807158000
2016-11-11,76218.000000,76427.781250,75174.171875,75174.171875,75174.171875,710610500
2016-11-14,75397.117188,75489.953125,74292.460938,74419.101563,74419.101563,671833100
2016-11-15,74735.187500,75309.757813,74628.703125,75150.562500,75150.562500,624871500
2016-11-16,75347.023438,75410.562500,74399.062500,74759.062500,74759.062500,587580500
2016-11-17,74991.460938,75688.609375,74856.531250,75136.218750,75136.218750,619362100
2016-11-18,74918.312500,75783.929688,74495.843750,75638.960938,75638.960938,623688800
2016-11-21,75880.578125,75937.648438,75193.531250,75543.570313,75543.570313,536252300
2016-11-22,75529.523438,76215.843750,75415.320313,75811.992188,75811.992188,532746300
2016-11-23,76081.007813,76173.421875,74976.898438,75036.898438,75036.898438,552663200
2016-11-24,74972.617188,75867.320313,74104.578125,74193.070313,74193.070313,962994300
2016-11-25,74067.492188,74597.992188,73752.671875,74363.453125,74363.453125,540004100
2016-11-28,74999.679688,75332.992188,74907.156250,74990.226563,74990.226563,503097300
2016-11-29,74845.437500,75120.101563,74197.718750,74205.476563,74205.476563,572217900
2016-11-30,74499.718750,74561.820313,73631.281250,73995.203125,73995.203125,609824100
2016-12-01,74059.617188,74094.390625,72336.023438,72519.851563,72519.851563,818539700
2016-12-02,72657.679688,73545.281250,71792.960938,73390.937500,73390.937500,756741700
2016-12-05,73068.648438,74169.648438,73014.117188,73599.703125,73599.703125,640972200
2016-12-06,73991.273438,75446.109375,73991.273438,75433.343750,75433.343750,700934600
2016-12-07,75434.406250,76123.781250,75194.109375,76030.781250,76030.781250,731295400
2016-12-08,76264.867188,76458.507813,75116.851563,75929.320313,75929.320313,774120300
2016-12-09,76116.421875,76177.140625,75584.757813,75727.281250,75727.281250,484040300
2016-12-12,75347.132813,76239.632813,74908.890625,76239.632813,76239.632813,565129400
2016-12-13,76532.648438,77016.078125,76268.703125,76995.273438,76995.273438,632034400
2016-12-14,76892.953125,77109.210938,76458.546875,76880.851563,76880.851563,468258300
